event_date,firm,car,group,grp,direction,z
2021-07-14,BPE.MI,-0.009757154137112069,bank,bank,-1.0,0.4457023654474827
2021-07-14,MB.MI,-0.0027657509110473287,bank,bank,-1.0,-1.913665771560751
2021-07-14,INGA.AS,-0.0007088299625740849,bank,bank,-1.0,0.0804612861920478
2021-07-14,ABN.AS,-0.0033938910193543233,bank,bank,-1.0,-0.12757135640344586
2021-07-14,KBC.BR,-0.007151901647502355,bank,bank,-1.0,0.48686960141089525
2021-07-14,EBS.VI,-0.001748924342245003,bank,bank,-1.0,0.2976788742054292
2021-07-14,RBI.VI,-0.0013244928212198283,bank,bank,-1.0,-0.1603862510250389
2021-07-14,BG.VI,0.00645550041513111,bank,bank,-1.0,-0.23359860729761434
2021-07-14,BIRG.IR,-0.005586425070822198,bank,bank,-1.0,1.1461139920025163
2021-07-14,A5G.IR,-0.006231383753237309,bank,bank,-1.0,1.6694774266625145
2021-07-14,ETE.AT,-0.02048517181383694,bank,bank,-1.0,1.1896462862934265
2021-07-14,EUROB.AT,-0.004225085145756647,bank,bank,-1.0,0.3949686796988067
2021-07-14,TPEIR.AT,0.013119146737146942,bank,bank,-1.0,1.3177710426531568
2021-07-14,BCP.LS,0.009648229665429449,bank,bank,-1.0,1.9115242988785415
2021-07-14,NEXI.MI,-0.008790966556818613,payments,payments,-1.0,
2021-07-14,WLN.PA,0.002314897185385729,payments,payments,-1.0,
2021-07-14,ADYEN.AS,0.006528863178358231,payments,payments,-1.0,
2021-07-14,WISE.L,0.009555229955240776,payments,payments,-1.0,
2021-07-14,SWED-A.ST,-0.006505319031070129,control_bank,control_bank,0.0,-1.1418669440853995
2021-07-14,SHB-A.ST,0.0012939795312890611,control_bank,control_bank,0.0,-1.476933828719851
2021-07-14,DANSKE.CO,-0.008573269512057594,control_bank,control_bank,0.0,-2.034052437497537
2021-07-14,DNB.OL,-0.013078324266334316,control_bank,control_bank,0.0,-0.9659534405231625
2021-07-14,LLOY.L,-0.0019805890057602946,control_bank,control_bank,0.0,
2021-07-14,NWG.L,0.01137031523837866,control_bank,control_bank,0.0,
2021-07-14,UBSG.SW,-0.003971605049028643,control_bank,control_bank,0.0,
2021-07-14,MA,0.017657954609621076,payments,payments,-1.0,
2021-07-14,V,0.01443247365835528,payments,payments,-1.0,
2021-07-14,AXP,-0.002796064341262185,payments,payments,-1.0,
2021-07-14,PYPL,-2.0354820626586638e-05,payments,payments,-1.0,
2021-07-14,GPN,0.010219392910583765,payments,payments,-1.0,
2021-07-14,AAPL,0.021856381501970223,device,gate,0.0,
2021-07-14,GOOGL,0.006165861520175622,device,gate,0.0,
2021-07-14,AMZN,0.0014301034063010018,bigtech,gate,0.0,
2021-07-14,META,-0.013448201714760433,bigtech,gate,0.0,
